"county","MEDIAN_AGE","POVERTY_RATE","MEDIAN_HOUSEHOLD_INCOME","PCT_NO_HEALTHCARE","PCT_WITH_A_DISABILITY","PCT_SNAP_ASSISTANCE","AHOLD.DELHAIZE.USA.INC","ALBERTSONS.CO.INC","COSTCO.WHOLESALE.CORP","DOLLAR.GENERAL.CORP","DOLLAR.TREE.INC","KROGER.CO","LONE.STAR.FUNDS","MEIJER.INC","PUBLIX.SUPER.MARKETS.INC","TARGET.CORP","TRADER.JOE.S","WAKEFERN.FOOD.CORP.INC","WALMART.INC","WEGMANS.FOOD.MARKETS.INC","TOTAL_POPULATION"
" Abbeville County",44.7428571428571,0.163971439559004,45600.1428571429,0.114378666977823,0.167323070237929,0.140206648244287,0.360966666666667,NA,NA,0.247928571428571,0.06314,NA,NA,NA,0.2832,NA,NA,NA,0.532766666666667,NA,24374
" Accomack County",47.1636363636364,0.152518515534613,52060.6363636364,0.108580171768917,0.166681221744973,0.109608739905197,0.553588888888889,NA,NA,0.196475,0.0343,NA,NA,NA,NA,NA,NA,NA,0.1974,NA,33388
" Ada County",39.362015503876,0.0961632953872637,80517.6666666667,0.0738273725772777,0.108556679896259,0.0720126750192672,NA,0.2797864,0.366209090909091,NA,0.0461539215686275,0.239142168674699,NA,NA,NA,0.0942225806451613,0.0945709677419355,NA,0.506443055555556,NA,485246
" Adair County",37.8173913043478,0.213863919133463,45337.6363636364,0.109382157947989,0.175000698308589,0.142787970337183,NA,NA,NA,0.0520619047619048,0.0139142857142857,0.0298,NA,NA,NA,NA,NA,NA,0.627394117647059,NA,71449
" Adams County",38.4882926829268,0.121997030351088,70637.0682926829,0.0926548686692468,0.140576754222786,0.116280132230386,0.171765217391304,0.185629787234043,0.1265,0.0462663865546218,0.0276892405063291,0.44148137254902,NA,NA,NA,0.122772222222222,NA,NA,0.441372857142857,NA,860202
" Addison County",42.2727272727273,0.0771646373333551,75955.7272727273,0.050837794682271,0.151187015008906,0.0925278348087553,0.30778,0.55578,NA,0.0393714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42474
" Aiken County",41.2976190476191,0.145116126070354,54917.0238095238,0.104950941508349,0.190974346496475,0.142731937373354,0.069796875,NA,0.1172,0.080697619047619,0.0325948717948718,0.191778787878788,0.0661,NA,0.18965,0.117738461538462,NA,NA,0.44245,NA,168045
" Aitkin County",55.25,0.110346919439149,52341.125,0.0579454566253887,0.206344859018943,0.0888077022499613,NA,NA,NA,0.3075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15747
" Alachua County",35.7474576271186,0.233168510001562,53789.4237288136,0.0837419575047536,0.141272861442277,0.106442495596598,NA,NA,NA,0.0458942307692308,0.0189372093023256,NA,0.12733,NA,0.526390196078431,0.110866666666667,0.0855666666666667,NA,0.322127586206897,NA,280574
" Alamance County",39.9486486486486,0.142602400764554,57187.9189189189,0.104905131588363,0.155620303312775,0.132811140476992,0.357867567567568,NA,NA,0.0613405405405405,0.0292657142857143,0.00687368421052632,NA,NA,NA,0.0982111111111111,NA,NA,0.357044117647059,NA,169185
" Alameda County",38.7693717277487,0.101335435689017,117343.245382586,0.0419861216713282,0.110409767731462,0.0927279228701368,NA,0.397631851851852,0.155764516129032,NA,0.0405481012658228,0.388286666666667,NA,NA,NA,0.248314035087719,0.206952447552448,NA,0.229905882352941,NA,1702137
" Alamosa County",33.96,0.144710543583557,49242.6,0.101789508347534,0.178104667662627,0.23116331822296,NA,0.40538,NA,NA,0.04665,0.39865,NA,NA,NA,NA,NA,NA,0.231225,NA,16377
" Albany County",38.6340206185567,0.144289657561998,74388.8958333333,0.037679652776779,0.1348871776745,0.117483524758607,0.256335185185185,0.238972727272727,NA,0.0364690476190476,0.0336513157894737,NA,NA,NA,NA,0.0840230769230769,0.04293125,0.264361363636364,0.311522641509434,NA,354237
" Albemarle County",39.9516129032258,0.0907562353345434,89656.935483871,0.0536791204996349,0.105483562026473,0.0386708010718247,0.177347368421053,NA,0.13095,0.04552,0.0093875,0.444147826086957,NA,NA,NA,0.107042857142857,0.0471428571428571,NA,0.249091666666667,0.5212,126794
" Alcona County",58.3,0.15765222749283,47570,0.0456178244328875,0.231779403280878,0.131100579691675,NA,NA,NA,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10138
" Alcorn County",40.41,0.172789483285635,47821.6,0.134973316132827,0.245622100643439,0.196950553539019,NA,NA,NA,0.08284,0.0195666666666667,0.10455,NA,NA,NA,NA,NA,NA,0.605977777777778,NA,34964
" Alexander County",45.3727272727273,0.163815918798469,49926.0909090909,0.102148896360882,0.221283677911088,0.125793942532646,0.205242857142857,NA,NA,0.21655,0.0126428571428571,NA,NA,NA,0.20375,NA,NA,NA,0.4179,NA,41979
