"metro_nonmetro","county_name","state_abbr","value"
"Metropolitan","Capitol Planning Region","CT",0.30000013294725
"Metropolitan","Greater Bridgeport Planning Regio","CT",0.22900035092587
"Metropolitan","Lower Connecticut River Valley Pl","CT",0.28300160547404
"Metropolitan","Naugatuck Valley Planning Region","CT",0.2360001916778
"Metropolitan","South Central Connecticut Plannin","CT",0.31200051950301
"Metropolitan","Southeastern Connecticut Planning","CT",0.31400017376751
"Metropolitan","Western Connecticut Planning Regi","CT",0.23300003993635
"Metropolitan","Anchorage Municipality","AK",0.31800120381081
"Metropolitan","Fairbanks North Star Borough","AK",0.31900083879498
"Metropolitan","Matanuska-Susitna Borough","AK",0.33700376598143
"Metropolitan","Autauga County","AL",0.3430024935435
"Metropolitan","Baldwin County","AL",0.30200029702311
"Metropolitan","Bibb County","AL",0.32601341498979
"Metropolitan","Blount County","AL",0.32200227125966
"Metropolitan","Calhoun County","AL",0.37400089395207
"Metropolitan","Chilton County","AL",0.39900770487976
"Metropolitan","Colbert County","AL",0.31500668151448
"Metropolitan","Elmore County","AL",0.34000319062536
"Metropolitan","Etowah County","AL",0.36000203733415
"Metropolitan","Geneva County","AL",0.34600741897696
"Metropolitan","Greene County","AL",0.26800711743772
"Metropolitan","Hale County","AL",0.32301094890511
"Metropolitan","Henry County","AL",0.30201240623197
"Metropolitan","Houston County","AL",0.36500085845331
"Metropolitan","Jefferson County","AL",0.35000020240539
"Metropolitan","Lauderdale County","AL",0.31600129086044
"Metropolitan","Lawrence County","AL",0.24300442980909
"Metropolitan","Lee County","AL",0.31800194213036
"Metropolitan","Limestone County","AL",0.29600325796423
"Metropolitan","Lowndes County","AL",0.27901501826546
"Metropolitan","Macon County","AL",0.27901839619291
"Metropolitan","Madison County","AL",0.34000025678226
"Metropolitan","Mobile County","AL",0.37700076406167
"Metropolitan","Montgomery County","AL",0.38300043118369
"Metropolitan","Morgan County","AL",0.33600025677787
"Metropolitan","Pickens County","AL",0.33301739895742
"Metropolitan","Russell County","AL",0.29700189841182
"Metropolitan","Shelby County","AL",0.31200130113964
"Metropolitan","St. Clair County","AL",0.36300260341336
"Metropolitan","Tuscaloosa County","AL",0.37900059729882
"Metropolitan","Walker County","AL",0.34200431255776
"Metropolitan","Benton County","AR",0.31900127144737
"Metropolitan","Craighead County","AR",0.38500012228826
"Metropolitan","Crawford County","AR",0.39200175400132
"Metropolitan","Crittenden County","AR",0.35100333945065
"Metropolitan","Faulkner County","AR",0.35000311500602
"Metropolitan","Garland County","AR",0.32100250562487
"Metropolitan","Grant County","AR",0.30301921973609
"Metropolitan","Little River County","AR",0.27800022244467
"Metropolitan","Lonoke County","AR",0.33600538599641
"Metropolitan","Madison County","AR",0.29200698345225
"Metropolitan","Miller County","AR",0.30500729371472
"Metropolitan","Perry County","AR",0.27402564102564
"Metropolitan","Poinsett County","AR",0.32900939109361
"Metropolitan","Pulaski County","AR",0.36500048650045
"Metropolitan","Saline County","AR",0.32300006180597
"Metropolitan","Sebastian County","AR",0.3350004714362
"Metropolitan","Washington County","AR",0.32800164668999
"Metropolitan","Cochise County","AZ",0.31000290842613
"Metropolitan","Coconino County","AZ",0.23800003703978
"Metropolitan","Maricopa County","AZ",0.28700003737903
"Metropolitan","Mohave County","AZ",0.31400009763347
"Metropolitan","Pima County","AZ",0.28800007273565
"Metropolitan","Pinal County","AZ",0.37000016234557
"Metropolitan","Yavapai County","AZ",0.2560011640032
"Metropolitan","Yuma County","AZ",0.38300038639876
"Metropolitan","Alameda County","CA",0.23500009464857
"Metropolitan","Butte County","CA",0.31500031748047
"Metropolitan","Contra Costa County","CA",0.25300024740312
"Metropolitan","El Dorado County","CA",0.25100012571875
"Metropolitan","Fresno County","CA",0.37900039258994
"Metropolitan","Imperial County","CA",0.34500060736122
"Metropolitan","Kern County","CA",0.34200030283469
"Metropolitan","Kings County","CA",0.32900152898114
"Metropolitan","Los Angeles County","CA",0.24400000801771
"Metropolitan","Madera County","CA",0.32100270766006
"Metropolitan","Marin County","CA",0.17400008959994
"Metropolitan","Merced County","CA",0.36200103000131
"Metropolitan","Monterey County","CA",0.29600071660071
"Metropolitan","Napa County","CA",0.25400218144243
